관광지,전체내용
국립민속박물관,베리 굿 : 대부분의 박물관은 좋다 민속 박물관은 생긴지 얼마 안되너 시설도 깨끗하고 다양한 전시회도 해서 좋다 아이와 자주와도 좋을듯 하다
국립민속박물관,"무료로 구경하기 좋은거 같아요. : 특별히 확끌리는 장면은 없지만, 오밀조밀하게 한국에 정서 문화를 잘 녹여낸거같아요. 외국인 친구들을 데리고 구경하기 좋은 곳입니다."
국립민속박물관,"기념품점 추천 : 경복궁을 간 김에 들린 민속 박물관인데, 내부 전시물도 좋았지만, 예상외의 아기자기하고 다양한 물건을 파는 기념품점도 좋았다."
국립민속박물관,"딱히 볼 건 없었어요 : 현대미술관에 들렀다가 바로 앞에 있기도 하고 입장료도 따로 없어서 들렀는데, 그닥 볼 만한 건  없었네요. 바닥이 모래였던 것도 그렇게 좋진 않았구요. 시대가 변한만큼 전통의 모습을 유지하면서도 조금 더 깔끔하고 현대적으로 꾸미는 것도 좋을 것 같아요. 궁이 아니라 박물관이니까요."
사직단,조용한 쉼터 : 관광객들이 많은 경북궁쪽에서 독립문으로 조금만 걸어오면 조선시대 땅과 곡식을 위한 제살를 위한 사직단이 있습니다 지금은 주변에 높은 빌당과 상가가 들어와 덩그러니남아있지만 그래도 들어가면 푸른 나무들이 있어서 시끄러운 도시에서 조용히 쉴수있는 공원이 되네요
사직단,가족들과 오기 좋은곳! : 근처에 회사다닐때 시간이 남아 둘러본 곳입니다.아직 유명하지 않아서 사람도 별로 없고분위기도 독특하고 예뻤습니다.아이들과 함께 가족단위로 와도 좋을 곳이라고 생각합니다.
사직단,도심속에 숲 : 도심속의 작은 숲.. 사람이 적어 더욱 좋다. 커피한잔과 도시락에 차한잔.. 딱 좋은곳이다.
사직단,도심속에 평안함 : 조선시대 옛모습으로 복원예정인 사직공원도심속에 여유로운 산책을 하기를 원하시면 추천합니다.사직공원에 가면 종로도서관 및 어린이도서관이 있으니 겸사겸사 추천드립니다.제가 어릴때는 뛰어놀 수 있는 공간이 넓었는데 지금은 조선시대 사직단을 복원한다고 펜스쳐놓고 그래서 좀 아쉬원데 도심속에 여유를 느끼시려면 사직공원 추천합니다.
사직단,"궁권들과는 다른 독특한 분위기를 느낄 수 있는 곳 : 도심에 이런 곳이 있나하고 놀랄민한 곳임.  경복궁역에서도 가까운 편인데 경북궁, 덕수궁 등과는 다른 조용한 분위기가 독특함. 시간되면 북악스카이웨이쪽으로 가는 것도 좋을듯"
사직단,"오랜 역사를 지닌 평화로운 공원 : 사대 공원은 서대문 교도소 박물관과 경복궁 사이의 중간 지점에 위치하고있어 두 명소 사이를 걸어 다녔습니다. 공원은 방문 할 우리 목록에 없었다. 오히려 우리가 길의 보도에서 볼 수 있었던 외벽과 건물은 우리를 끌었다.공원은 흥미 진진한 역사였으며, 고려 왕조 (918-1392) 이후 가을과 봄에 신에게 준 의식과 희생이이 곳에서 행해졌 다. 관습의 목적은 농작물이 풍성하기를 바라는 것이었다. 돌 수정은 1395 년에 태조 왕이 제정 한 것이고, 더 이상 존재하지 않고 단지 플랫폼 만 남아있다. 관습은 1911 년에 끝났지 만 1988 년 국경절에 다시 시작되었습니다.공원의 큰 부분은 범위를 벗어나지 만 닫힌 울타리를 들으며 사진을 찍을 수있었습니다. 우리는 공원에서 우리의 평화로운 시간을 즐겼습니다.이 주일 오후에 방문객이 거의 없습니다."
사직단,긴장을 풀거나 약간의 역사 수업을받는 공원 : 이것은 신들의 제단을 둘러싼 공원입니다.제단 지역은 담장으로 격리됩니다. 방문자는 주변 공원을 걸 으면서 울타리를 들여다 볼 수 있습니다.할 일이 많지 않습니다. 단지 몇 명의 방문자가 오래된 나무로 공원에서 휴식을 취합니다. 다른 사람들은 역사서에서 강의를 듣습니다.
사직단,"잠긴 제단 : 이유는 공원에 갔는데 방문하려면 sajikdan. 이는 고대 변경 곡립 토양과 비슷한 변경에 베이징. 불행히도, 이 공개됩니다. 그 곳에서 기념사진을 찍는 슬로프에 제단, 하지만 좋았을 수 있고 주위에 걸었다. 공원 자체는 충분히 좋은, 특별한 건 없었지만. 이 숙녀 놀이 크로켓, 꽤 특이한."
경교장,김구선생님이 돌아가신 역사의 현장 : 김구 선생님이 광복 후 기거하시다가 돌아가신 곳입니다. 그당시 사용하던 가구 등 내부를 잘 복원해 놓았습니다. 역사의 현장이므로 방문할 필요가 있습니다
경교장,강북삼성병원 가는 길에 : 정동야행에 코스이기도 하지만 정동에서 길을 건너야 하고 강북삼성병원 갔을 때 이런 곳에 문화재가 하면서 방문해 볼 만한 곳이다
경교장,역사의 아픔이 있는장소 : 강북 삼성병원에 자리잡은 옛 임시정부 김구선생님의 마지막장소.역사적으로 중요한곳임에도 지켜지지 못하고 간신히 경교장 건물 하나만 남은것이 너무나도 안타깝고 이것을 지켜내신분들이 참 대단하다 김구선생님 마지막 총맞으실때 입으셨던 피묻은 옷은 정말 너무 슬프다
경교장,"방문기 : 백범 김 구 선생님이 계시던 곳인데, 지금은 강북삼성병원 내에 있어 병원 부속 건물로 오해 받을 수 있지만 독립건물입니다. 서울특별시 유형문화재 129호로 지정되어 있어 잊혀져가는 근현대사 유물로 안타까운 느낌이 드는 곳입니다."
경교장,"독립 후 상해의 임시정부가 자리잡은 곳 : 삼성병원 내부에 경교장이 있습니다. 상해의 임시정부가 광복 후 사무실로 썼던 건물인데 병원 건물로 쓰던 것을 최대한 옛날 모습으로 복원한 곳입니다. 내부에는 당시의 모습을 재현하고 대한민국 독립과 임시정부, 그리고 김구 선생님에 대한 자료들이 전시되어 있습니다.근대의 건물을 구경한다는 차원에서 지나는 길에 들려볼만 합니다."
탑골공원,"독립운동의 성지와 같은 곳! : 우리나라 최초의 도심 내 공원으로 1465년 세워졌다 연산군 때 폐사된 후 중종 때 건물이 모두 철거되어 빈터만 남은 곳을 19세기 말에 공원으로 설계한 것이다. 모든 것이 철거되고도 탑과 비만이 남아 있던 이곳은 특히 1919년 3월 1일의 독립선언으로 현대사에서 특히 중요한 장소가 되었다. 이 시대부터 '파고다 공원'으로 불려 왔지만 1992년 옛 지명에 따라 '탑골 공원'으로 개칭하였다. 석탑과 원각사비 외에도 3·1운동 부조, 의암 손병희 동상, 독립 선언문 등이 있다. 근래 들어 노인들의 휴식처로 많이 사용되어 왔지만 문화재들의 중요성으로 재발견되고 있는 곳이기도 하다."
탑골공원,한번은 가볼만함. : 인사동을 찾아가다 우연찮게 가게된 탑골공원.텔레비전에서 보던 것처럼 어르신들이 많이 보였음. 하지만 노숙하는 분들도 많아 아이를 데려가기 꺼려짐.
